Timestamp,"I am currently living in HKU dorm.
(halls/residential colleges)",I am an ,Year of study,My faculty is,I am currently paying (or willing to pay) monthly housing fee of ,I am currently receiving,Price/Affordability,Commute time to campus,Privacy,Study environment and quiet hours,Social life and community building,"Facilities and amenities (gym, laundry, common areas, etc.)","Rules and flexibility (e.g., guest policies, curfews, room decoration)","Sustainability features (e.g., energy-efficient appliances/lighting, recycling and waste-sorting facilities, water-saving fixtures)",Willingness to pay a premium for environmentally certified/green housing
2025/11/20 6:33:12 PM GMT+8,Yes,International student,1,Business and Economics,"HK$4,000 - HK$5,999",tuition-fee scholarship (covers tuition fee only),4,3,3,4,4,4,5,5,1
2025/11/20 6:35:12 PM GMT+8,Yes,Local student,2,Business and Economics,"HK$4,000 - HK$5,999",tuition-fee scholarship (covers tuition fee only),5,4,4,4,5,4,4,4,1
2025/11/20 6:42:23 PM GMT+8,Yes,International student,2,Arts,"HK$2,000 - HK$3,999",N/A. (I do not receive any scholarship or financial aid),3,3,3,3,3,3,3,1,1
2025/11/20 6:44:53 PM GMT+8,Yes,International student,1,Business and Economics,"HK$2,000 - HK$3,999",full-ride (tuition fee+ living expenses),5,3,4,2,3,3,,4,1
2025/11/20 6:46:05 PM GMT+8,Yes,International student,1,Business and Economics,"HK$2,000 - HK$3,999",full-ride (tuition fee+ living expenses),4,3,3,5,5,5,4,5,1
2025/11/20 8:44:02 PM GMT+8,Yes,International student,2,Business and Economics,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),4,3,3,3,2,2,3,2,4
2025/11/20 9:38:53 PM GMT+8,No,Local student,2,Social Sciences,"Less than HK$2,000",tuition-fee scholarship (covers tuition fee only),1,1,1,1,1,1,1,4,1
2025/11/20 9:39:01 PM GMT+8,Yes,Local student,2,Business and Economics,"HK$4,000 - HK$5,999",tuition-fee scholarship (covers tuition fee only),4,3,3,5,5,5,3,3,4
2025/11/20 9:44:12 PM GMT+8,Yes,Local student,2,Business and Economics,"HK$2,000 - HK$3,999",N/A. (I do not receive any scholarship or financial aid),5,4,5,4,3,3,4,3,2
2025/11/20 10:19:38 PM GMT+8,No,Local student,3,Law,"HK$4,000 - HK$5,999",N/A. (I do not receive any scholarship or financial aid),4,5,3,4,4,3,3,3,2
2025/11/20 10:20:49 PM GMT+8,No,International student,1,Social Sciences,"HK$6,000 - HK$7,999",full-ride (tuition fee+ living expenses),3,5,5,3,5,5,4,4,2
2025/11/20 10:22:21 PM GMT+8,Yes,Local student,3,Engineering,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),4,3,2,5,3,5,5,1,2
2025/11/20 10:23:58 PM GMT+8,No,Local student,4,Education,"HK$4,000 - HK$5,999",N/A. (I do not receive any scholarship or financial aid),2,3,5,5,5,3,5,3,5
2025/11/20 10:51:46 PM GMT+8,Yes,Local student,2,Law,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),5,5,3,3,3,3,3,3,5
2025/11/20 10:52:27 PM GMT+8,Yes,Local student,2,Business and Economics,"Less than HK$2,000",N/A. (I do not receive any scholarship or financial aid),4,4,4,3,3,4,4,4,3
2025/11/20 10:57:39 PM GMT+8,No,Local student,2,Arts,"HK$8,000 or more",tuition-fee scholarship (covers tuition fee only),5,5,3,5,4,4,3,3,3
2025/11/20 11:07:31 PM GMT+8,No,International student,2,Business and Economics,"Less than HK$2,000",tuition-fee scholarship (covers tuition fee only),5,5,1,5,2,1,1,1,4
2025/11/20 11:20:55 PM GMT+8,Yes,International student,3,Business and Economics,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),5,3,4,4,4,4,4,1,1
2025/11/20 11:30:23 PM GMT+8,Yes,International student,3,Architecture,"HK$2,000 - HK$3,999",full-ride (tuition fee+ living expenses),3,4,4,4,4,4,4,2,4
2025/11/20 11:43:05 PM GMT+8,Yes,International student,1,Engineering,"HK$2,000 - HK$3,999",full-ride (tuition fee+ living expenses),5,4,2,4,4,4,3,1,3
2025/11/21 12:49:11 AM GMT+8,Yes,Local student,4,Social Sciences,"HK$2,000 - HK$3,999",N/A. (I do not receive any scholarship or financial aid),3,5,3,3,5,5,5,2,2
2025/11/21 12:50:02 AM GMT+8,No,Local student,3,Arts,"HK$2,000 - HK$3,999",N/A. (I do not receive any scholarship or financial aid),4,3,5,5,3,4,4,4,2
2025/11/21 12:50:48 AM GMT+8,Yes,Local student,2,Business and Economics,"HK$4,000 - HK$5,999",tuition-fee scholarship (covers tuition fee only),5,4,4,4,5,5,5,2,2
2025/11/21 12:51:11 AM GMT+8,Yes,Local student,3,Law,"HK$4,000 - HK$5,999",N/A. (I do not receive any scholarship or financial aid),5,4,3,5,3,,5,4,2
2025/11/21 12:51:34 AM GMT+8,Yes,Local student,1,Social Sciences,"HK$6,000 - HK$7,999",tuition-fee scholarship (covers tuition fee only),5,3,4,1,5,5,2,1,3
2025/11/21 12:52:03 AM GMT+8,No,Local student,4,Architecture,"Less than HK$2,000",tuition-fee scholarship (covers tuition fee only),5,5,2,3,2,5,3,3,2
2025/11/21 12:52:29 AM GMT+8,Yes,Local student,2,Medicine,"HK$6,000 - HK$7,999",N/A. (I do not receive any scholarship or financial aid),3,4,3,5,4,5,3,4,1
2025/11/21 12:52:53 AM GMT+8,Yes,Local student,2,Arts,"Less than HK$2,000",N/A. (I do not receive any scholarship or financial aid),3,5,4,3,5,4,3,1,4
2025/11/21 12:53:21 AM GMT+8,Yes,Local student,3,Engineering,"HK$6,000 - HK$7,999",N/A. (I do not receive any scholarship or financial aid),5,5,5,5,5,5,5,1,3
2025/11/21 12:53:48 AM GMT+8,Yes,Local student,1,Medicine,"HK$4,000 - HK$5,999",N/A. (I do not receive any scholarship or financial aid),3,4,3,2,2,5,2,2,2
2025/11/21 12:54:16 AM GMT+8,Yes,Local student,2,Education,"Less than HK$2,000",full-ride (tuition fee+ living expenses),5,3,4,3,4,5,3,5,5
2025/11/21 12:54:44 AM GMT+8,Yes,Local student,4,Social Sciences,"Less than HK$2,000",N/A. (I do not receive any scholarship or financial aid),4,5,3,4,3,5,4,3,3
2025/11/21 12:55:29 AM GMT+8,Yes,Local student,2,Architecture,"HK$4,000 - HK$5,999",N/A. (I do not receive any scholarship or financial aid),3,4,3,5,4,3,5,3,3
2025/11/21 1:19:22 AM GMT+8,Yes,Local student,3,Law,"HK$6,000 - HK$7,999",N/A. (I do not receive any scholarship or financial aid),2,4,4,5,5,2,3,1,4
2025/11/21 1:20:16 AM GMT+8,No,International student,5-Jun,Medicine,"HK$6,000 - HK$7,999",tuition-fee scholarship (covers tuition fee only),1,2,5,3,2,2,2,2,1
2025/11/21 1:20:55 AM GMT+8,No,Local student,1,Engineering,"HK$4,000 - HK$5,999",N/A. (I do not receive any scholarship or financial aid),3,1,5,5,5,5,5,4,5
2025/11/21 1:21:45 AM GMT+8,No,International student,3,Science,"HK$2,000 - HK$3,999",full-ride (tuition fee+ living expenses),5,2,2,2,3,3,1,5,4
2025/11/21 1:22:26 AM GMT+8,No,Local student,5-Jun,Medicine,"HK$8,000 or more",N/A. (I do not receive any scholarship or financial aid),2,5,3,2,2,1,1,2,4
2025/11/21 1:37:03 AM GMT+8,Yes,International student,2,Engineering,"Less than HK$2,000",tuition-fee scholarship (covers tuition fee only),5,3,5,5,5,5,5,3,1
2025/11/21 4:35:54 AM GMT+8,No,Local student,3,Social Sciences,"HK$4,000 - HK$5,999",N/A. (I do not receive any scholarship or financial aid),3,2,5,4,5,5,2,3,1
2025/11/21 4:37:01 AM GMT+8,Yes,Local student,4,Architecture,"HK$2,000 - HK$3,999",full-ride (tuition fee+ living expenses),5,4,3,4,3,2,2,5,2
2025/11/21 4:38:00 AM GMT+8,Yes,Local student,5-Jun,Medicine,"HK$4,000 - HK$5,999",tuition-fee scholarship (covers tuition fee only),3,3,5,5,3,2,2,1,3
2025/11/21 4:38:37 AM GMT+8,Yes,Local student,1,Business and Economics,"HK$2,000 - HK$3,999",full-ride (tuition fee+ living expenses),3,3,5,2,4,1,2,3,4
2025/11/21 4:39:23 AM GMT+8,No,International student,2,Business and Economics,"HK$4,000 - HK$5,999",full-ride (tuition fee+ living expenses),2,5,2,4,3,2,3,4,2
2025/11/21 7:29:00 AM GMT+8,Yes,International student,2,Engineering,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),2,4,2,5,4,4,2,5,4
2025/11/21 7:29:44 AM GMT+8,No,International student,4,Education,"Less than HK$2,000",N/A. (I do not receive any scholarship or financial aid),5,5,3,4,4,2,2,3,4
2025/11/21 7:30:22 AM GMT+8,Yes,Local student,3,Social Sciences,"HK$4,000 - HK$5,999",full-ride (tuition fee+ living expenses),4,3,4,3,3,5,4,5,1
2025/11/21 7:30:49 AM GMT+8,Yes,International student,2,Medicine,"HK$2,000 - HK$3,999",N/A. (I do not receive any scholarship or financial aid),4,4,5,2,4,2,2,3,3
2025/11/21 7:31:35 AM GMT+8,No,Local student,2,Engineering,"HK$4,000 - HK$5,999",full-ride (tuition fee+ living expenses),5,5,5,4,3,4,2,2,5
2025/11/21 7:32:23 AM GMT+8,No,International student,3,Law,"HK$2,000 - HK$3,999",N/A. (I do not receive any scholarship or financial aid),4,2,5,5,5,5,2,3,1
2025/11/21 7:32:56 AM GMT+8,Yes,International student,1,Architecture,"HK$8,000 or more",tuition-fee scholarship (covers tuition fee only),2,5,5,4,5,5,2,2,3
2025/11/21 7:33:22 AM GMT+8,Yes,Local student,3,Law,"HK$6,000 - HK$7,999",N/A. (I do not receive any scholarship or financial aid),1,1,1,5,4,3,2,4,4
2025/11/21 7:33:48 AM GMT+8,No,Local student,4,Law,"HK$4,000 - HK$5,999",full-ride (tuition fee+ living expenses),1,1,5,5,5,2,2,5,2
2025/11/21 7:34:16 AM GMT+8,Yes,Local student,2,Law,"HK$2,000 - HK$3,999",N/A. (I do not receive any scholarship or financial aid),5,5,1,1,1,3,3,4,2
2025/11/21 7:35:19 AM GMT+8,Yes,Local student,5-Jun,Medicine,"HK$6,000 - HK$7,999",N/A. (I do not receive any scholarship or financial aid),1,4,5,5,5,5,1,4,2
2025/11/21 7:35:44 AM GMT+8,No,Local student,2,Social Sciences,"HK$4,000 - HK$5,999",full-ride (tuition fee+ living expenses),1,1,5,5,3,3,2,5,5
2025/11/21 7:36:19 AM GMT+8,Yes,International student,3,Engineering,"HK$6,000 - HK$7,999",full-ride (tuition fee+ living expenses),1,1,5,5,4,3,2,3,5
2025/11/21 7:36:52 AM GMT+8,No,International student,1,Engineering,"HK$6,000 - HK$7,999",tuition-fee scholarship (covers tuition fee only),1,1,4,3,4,5,2,2,1
2025/11/21 7:37:24 AM GMT+8,Yes,Local student,2,Education,"HK$6,000 - HK$7,999",N/A. (I do not receive any scholarship or financial aid),2,2,4,4,3,2,1,4,1
2025/11/21 7:38:34 AM GMT+8,No,Local student,3,Social Sciences,"Less than HK$2,000",full-ride (tuition fee+ living expenses),1,1,5,4,2,3,5,1,1
2025/11/21 7:39:03 AM GMT+8,No,Local student,3,Law,"HK$8,000 or more",full-ride (tuition fee+ living expenses),1,1,1,1,5,5,5,3,2
2025/11/21 7:39:38 AM GMT+8,No,Local student,3,Arts,"Less than HK$2,000",full-ride (tuition fee+ living expenses),1,1,1,1,1,4,3,4,4
2025/11/21 7:40:39 AM GMT+8,Yes,Local student,3,Medicine,"HK$2,000 - HK$3,999",full-ride (tuition fee+ living expenses),5,5,4,2,3,3,2,3,2
2025/11/21 7:41:22 AM GMT+8,No,Local student,3,Education,"HK$4,000 - HK$5,999",full-ride (tuition fee+ living expenses),5,5,5,5,4,3,4,5,2
2025/11/21 7:41:52 AM GMT+8,No,Local student,3,Law,"HK$6,000 - HK$7,999",tuition-fee scholarship (covers tuition fee only),1,1,5,5,4,3,2,1,4
2025/11/21 7:42:20 AM GMT+8,No,International student,4,Architecture,"HK$6,000 - HK$7,999",tuition-fee scholarship (covers tuition fee only),5,4,3,2,1,2,3,2,2
2025/11/21 7:42:59 AM GMT+8,Yes,International student,2,Law,"HK$4,000 - HK$5,999",N/A. (I do not receive any scholarship or financial aid),5,4,3,2,1,2,3,5,3
2025/11/21 7:43:26 AM GMT+8,No,Local student,3,Medicine,"HK$6,000 - HK$7,999",tuition-fee scholarship (covers tuition fee only),1,2,3,4,5,4,3,3,2
2025/11/21 7:43:54 AM GMT+8,No,Local student,4,Education,"Less than HK$2,000",N/A. (I do not receive any scholarship or financial aid),1,1,5,5,4,4,4,4,2
2025/11/21 7:44:36 AM GMT+8,No,Local student,3,Social Sciences,"HK$8,000 or more",N/A. (I do not receive any scholarship or financial aid),1,1,1,1,5,5,5,4,5
2025/11/21 7:45:18 AM GMT+8,No,Local student,3,Science,"Less than HK$2,000",full-ride (tuition fee+ living expenses),1,5,3,4,3,2,2,5,1
2025/11/21 7:45:47 AM GMT+8,Yes,Local student,2,Business and Economics,"Less than HK$2,000",full-ride (tuition fee+ living expenses),1,1,5,5,3,3,2,2,5
2025/11/21 7:46:18 AM GMT+8,Yes,International student,4,Medicine,"HK$8,000 or more",N/A. (I do not receive any scholarship or financial aid),1,1,1,1,5,5,5,4,1
2025/11/21 7:46:47 AM GMT+8,Yes,International student,3,Medicine,"HK$6,000 - HK$7,999",full-ride (tuition fee+ living expenses),5,4,3,5,2,4,2,4,3
2025/11/21 7:47:12 AM GMT+8,No,International student,4,Engineering,"Less than HK$2,000",full-ride (tuition fee+ living expenses),1,5,1,5,4,2,4,2,1
2025/11/21 7:47:47 AM GMT+8,No,Local student,2,Medicine,"HK$2,000 - HK$3,999",N/A. (I do not receive any scholarship or financial aid),1,1,1,5,5,5,4,1,3
2025/11/21 7:48:27 AM GMT+8,Yes,International student,3,Arts,"HK$2,000 - HK$3,999",full-ride (tuition fee+ living expenses),3,2,4,3,3,5,2,2,5
2025/11/21 7:49:00 AM GMT+8,No,International student,1,Business and Economics,"HK$2,000 - HK$3,999",full-ride (tuition fee+ living expenses),1,5,2,3,2,4,3,5,5
2025/11/21 7:49:26 AM GMT+8,No,International student,1,Social Sciences,"HK$6,000 - HK$7,999",N/A. (I do not receive any scholarship or financial aid),2,3,4,3,3,4,2,3,2
2025/11/21 7:51:33 AM GMT+8,No,Local student,4,Business and Economics,"HK$6,000 - HK$7,999",full-ride (tuition fee+ living expenses),1,5,5,4,3,3,4,5,1
2025/11/21 7:52:16 AM GMT+8,No,Local student,4,Business and Economics,"HK$6,000 - HK$7,999",N/A. (I do not receive any scholarship or financial aid),1,3,4,5,2,2,3,4,1
2025/11/21 7:52:59 AM GMT+8,Yes,Local student,3,Education,"HK$2,000 - HK$3,999",N/A. (I do not receive any scholarship or financial aid),2,2,4,3,3,4,3,1,4
2025/11/21 7:53:36 AM GMT+8,Yes,International student,2,Business and Economics,"HK$2,000 - HK$3,999",N/A. (I do not receive any scholarship or financial aid),5,5,4,4,3,2,4,2,5
2025/11/21 7:54:06 AM GMT+8,No,International student,1,Business and Economics,"HK$6,000 - HK$7,999",tuition-fee scholarship (covers tuition fee only),1,5,4,3,2,3,2,1,5
2025/11/21 7:54:40 AM GMT+8,Yes,Local student,1,Law,"HK$8,000 or more",N/A. (I do not receive any scholarship or financial aid),5,4,3,2,1,2,3,2,5
2025/11/21 7:55:14 AM GMT+8,No,Local student,3,Business and Economics,"Less than HK$2,000",N/A. (I do not receive any scholarship or financial aid),4,5,5,4,3,4,4,2,4
2025/11/21 7:55:41 AM GMT+8,No,Local student,2,Science,"HK$4,000 - HK$5,999",tuition-fee scholarship (covers tuition fee only),5,5,5,4,4,4,4,4,4
2025/11/21 7:56:20 AM GMT+8,Yes,International student,1,Architecture,"Less than HK$2,000",N/A. (I do not receive any scholarship or financial aid),1,5,5,3,3,4,2,5,5
2025/11/21 7:56:44 AM GMT+8,No,Local student,2,Medicine,"HK$4,000 - HK$5,999",N/A. (I do not receive any scholarship or financial aid),1,2,3,4,5,4,3,3,3
2025/11/21 7:57:16 AM GMT+8,No,Local student,2,Business and Economics,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),5,5,5,4,3,4,4,5,5
2025/11/21 7:57:45 AM GMT+8,Yes,Local student,3,Medicine,"Less than HK$2,000",N/A. (I do not receive any scholarship or financial aid),5,1,4,3,3,4,3,4,5
2025/11/21 7:58:17 AM GMT+8,Yes,Local student,2,Business and Economics,"Less than HK$2,000",N/A. (I do not receive any scholarship or financial aid),5,4,3,4,2,2,3,2,4
2025/11/21 7:58:51 AM GMT+8,Yes,International student,3,Medicine,"HK$8,000 or more",N/A. (I do not receive any scholarship or financial aid),4,4,5,5,3,5,2,3,4
2025/11/21 7:59:20 AM GMT+8,No,Local student,4,Education,"HK$6,000 - HK$7,999",tuition-fee scholarship (covers tuition fee only),1,4,2,5,2,4,3,4,4
2025/11/21 7:59:49 AM GMT+8,Yes,Local student,3,Business and Economics,"Less than HK$2,000",full-ride (tuition fee+ living expenses),1,2,2,5,2,2,3,2,1
2025/11/21 8:00:14 AM GMT+8,No,Local student,2,Social Sciences,"Less than HK$2,000",full-ride (tuition fee+ living expenses),1,3,3,5,3,2,2,4,5
2025/11/21 8:01:01 AM GMT+8,Yes,Local student,3,Education,"HK$2,000 - HK$3,999",N/A. (I do not receive any scholarship or financial aid),1,3,3,3,4,2,5,5,5
2025/11/21 10:28:31 AM GMT+8,Yes,International student,2,Engineering,"HK$4,000 - HK$5,999",tuition-fee scholarship (covers tuition fee only),4,3,2,2,1,3,1,3,4
2025/11/21 5:28:03 PM GMT+8,Yes,International student,1,Engineering,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),5,5,4,5,5,5,4,4,1
2025/11/22 6:35:50 PM GMT+8,Yes,International student,2,Science,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),5,3,4,2,1,2,5,3,3
2025/11/22 6:36:18 PM GMT+8,Yes,International student,5-Jun,Medicine,"HK$2,000 - HK$3,999",N/A. (I do not receive any scholarship or financial aid),5,5,2,3,2,5,5,2,3
2025/11/22 6:36:44 PM GMT+8,Yes,International student,5-Jun,Medicine,"HK$2,000 - HK$3,999",N/A. (I do not receive any scholarship or financial aid),5,2,4,3,5,5,3,1,4
2025/11/22 6:37:27 PM GMT+8,Yes,International student,3,Education,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),5,5,3,4,4,5,5,2,3
2025/11/22 6:38:51 PM GMT+8,Yes,International student,2,Business and Economics,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),3,3,4,4,4,4,5,5,3
2025/11/22 6:40:08 PM GMT+8,No,International student,3,Business and Economics,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),5,5,3,4,4,3,5,2,5
2025/11/22 6:42:45 PM GMT+8,Yes,International student,2,Business and Economics,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),1,2,1,1,1,4,3,1,4
2025/11/22 6:43:22 PM GMT+8,Yes,International student,5-Jun,Medicine,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),5,5,4,3,3,5,4,3,1
2025/11/22 6:48:15 PM GMT+8,Yes,International student,2,Social Sciences,"HK$2,000 - HK$3,999",N/A. (I do not receive any scholarship or financial aid),5,3,4,2,5,4,5,4,4
2025/11/22 6:48:40 PM GMT+8,Yes,Local student,4,Social Sciences,"HK$4,000 - HK$5,999",tuition-fee scholarship (covers tuition fee only),5,4,3,5,4,5,3,1,2
2025/11/22 6:49:22 PM GMT+8,Yes,Local student,2,Business and Economics,"HK$4,000 - HK$5,999",tuition-fee scholarship (covers tuition fee only),5,3,4,3,4,4,3,5,3
2025/11/22 6:50:25 PM GMT+8,Yes,International student,3,Business and Economics,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),5,3,4,3,5,4,5,3,5
2025/11/22 6:50:54 PM GMT+8,Yes,International student,2,Business and Economics,"Less than HK$2,000",tuition-fee scholarship (covers tuition fee only),4,3,5,4,5,4,3,1,5
2025/11/22 6:54:43 PM GMT+8,Yes,International student,2,Business and Economics,"Less than HK$2,000",full-ride (tuition fee+ living expenses),5,3,4,2,5,3,4,1,4
2025/11/22 6:55:27 PM GMT+8,No,Local student,2,Business and Economics,"HK$6,000 - HK$7,999",tuition-fee scholarship (covers tuition fee only),5,5,5,5,5,5,5,5,5
2025/11/22 6:55:46 PM GMT+8,No,Local student,4,Science,"HK$2,000 - HK$3,999",N/A. (I do not receive any scholarship or financial aid),2,4,3,5,5,3,4,3,5
2025/11/22 6:56:06 PM GMT+8,No,Local student,4,Engineering,"HK$4,000 - HK$5,999",N/A. (I do not receive any scholarship or financial aid),5,4,5,3,5,4,5,3,5
2025/11/22 6:56:29 PM GMT+8,No,Local student,4,Arts,"HK$4,000 - HK$5,999",tuition-fee scholarship (covers tuition fee only),5,1,5,1,5,1,5,5,1
2025/11/22 6:56:48 PM GMT+8,No,Local student,4,Architecture,"HK$4,000 - HK$5,999",full-ride (tuition fee+ living expenses),5,4,1,4,3,5,4,2,1
2025/11/22 6:57:28 PM GMT+8,No,International student,4,Social Sciences,"Less than HK$2,000",tuition-fee scholarship (covers tuition fee only),5,5,5,5,5,5,5,5,2
2025/11/22 6:57:52 PM GMT+8,No,International student,4,Arts,"HK$6,000 - HK$7,999",tuition-fee scholarship (covers tuition fee only),5,5,5,5,5,5,5,1,3
2025/11/22 6:58:15 PM GMT+8,No,International student,4,Engineering,"HK$4,000 - HK$5,999",full-ride (tuition fee+ living expenses),5,5,4,4,5,5,5,1,4
2025/11/22 6:59:12 PM GMT+8,No,International student,1,Law,"HK$4,000 - HK$5,999",tuition-fee scholarship (covers tuition fee only),5,1,1,1,1,1,1,4,3
2025/11/22 6:59:34 PM GMT+8,No,International student,1,Arts,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),5,5,5,4,4,5,5,2,3
2025/11/22 6:59:55 PM GMT+8,No,International student,3,Social Sciences,"HK$4,000 - HK$5,999",tuition-fee scholarship (covers tuition fee only),5,4,5,4,4,3,4,1,1
2025/11/22 7:00:13 PM GMT+8,No,International student,1,Medicine,"Less than HK$2,000",tuition-fee scholarship (covers tuition fee only),5,4,5,4,5,5,5,5,5
2025/11/22 7:00:34 PM GMT+8,No,International student,3,Business and Economics,"HK$6,000 - HK$7,999",full-ride (tuition fee+ living expenses),5,5,5,5,5,5,5,2,4
2025/11/22 7:01:08 PM GMT+8,No,International student,1,Law,"HK$6,000 - HK$7,999",tuition-fee scholarship (covers tuition fee only),5,1,5,1,5,1,3,2,5
2025/11/22 7:01:31 PM GMT+8,No,International student,1,Arts,"HK$2,000 - HK$3,999",N/A. (I do not receive any scholarship or financial aid),5,5,4,4,5,5,4,3,2
2025/11/22 7:01:50 PM GMT+8,No,Local student,3,Law,"HK$4,000 - HK$5,999",tuition-fee scholarship (covers tuition fee only),5,4,3,4,3,5,4,1,4
2025/11/22 7:02:11 PM GMT+8,No,Local student,1,Arts,"Less than HK$2,000",tuition-fee scholarship (covers tuition fee only),5,4,5,4,4,3,4,5,5
2025/11/22 7:02:34 PM GMT+8,No,Local student,1,Law,"HK$6,000 - HK$7,999",tuition-fee scholarship (covers tuition fee only),4,1,4,2,3,5,5,3,4
2025/11/22 7:12:25 PM GMT+8,No,International student,4,Arts,"HK$4,000 - HK$5,999",full-ride (tuition fee+ living expenses),2,3,4,3,5,4,5,1,3
2025/11/26 11:37:13 AM GMT+8,No,International student,3,Business and Economics,"HK$2,000 - HK$3,999",tuition-fee scholarship (covers tuition fee only),4,4,4,4,4,3,3,2,3
2025/11/26 12:17:54 PM GMT+8,No,International student,4,Education,"HK$4,000 - HK$5,999",full-ride (tuition fee+ living expenses),4,4,4,3,3,3,3,1,3
